chapter_num,status_simple,v2_lc,v2_idx,v2_text,v1_lc,v1_idx,v1_text,dist
01,edited,1,1,"Repeat the earlier installation steps, but for the `dplyr`, `nycflights23`, and `knitr` packages. This will install the earlier mentioned `dplyr` package for data wrangling, the `nycflights23` package containing data on all domestic flights leaving a New York City airport in 2023, and the `knitr` package for generating easy-to-read tables in R. We'll use these packages in the next section.",1,1,"Repeat the earlier installation steps, but for the `dplyr`, `nycflights13`, and `knitr` packages. This will install the earlier mentioned `dplyr` package for data wrangling, the `nycflights13` package containing data on all domestic flights leaving a NYC airport in 2013, and the `knitr` package for generating easy-to-read tables in R. We'll use these packages in the next section.",0.018829612277718843
01,unchanged,2,6,"""Load"" the `dplyr`, `nycflights23`, and `knitr` packages as well by repeating the earlier steps.",2,6,"""Load"" the `dplyr`, `nycflights13`, and `knitr` packages as well by repeating the earlier steps.",0
01,unchanged,3,11,What does any *ONE* row in this `flights` dataset refer to? - A. Data on an airline - B. Data on a flight - C. Data on an airport - D. Data on multiple flights,3,11,What does any *ONE* row in this `flights` dataset refer to? - A. Data on an airline - B. Data on a flight - C. Data on an airport - D. Data on multiple flights,0
01,unchanged,4,16,What are some other examples in this dataset of *categorical* variables? What makes them different than *quantitative* variables?,4,16,What are some other examples in this dataset of *categorical* variables? What makes them different than *quantitative* variables?,0
01,unchanged,5,21,"What properties of each airport do the variables `lat`, `lon`, `alt`, `tz`, `dst`, and `tzone` describe in the `airports` data frame? Take your best guess.",5,21,"What properties of each airport do the variables `lat`, `lon`, `alt`, `tz`, `dst`, and `tzone` describe in the `airports` data frame? Take your best guess.",0
01,edited,6,26,Provide the names of variables in a data frame with at least three variables where one of them is an identification variable and the other two are not.,6,26,"Provide the names of variables in a data frame with at least three variables where one of them is an identification variable and the other two are not. Further, create your own tidy data frame that matches these conditions.",0.10515986937005162
01,unchanged,7,31,"Look at the help file for the `airports` data frame. Revise your earlier guesses about what the variables `lat`, `lon`, `alt`, `tz`, `dst`, and `tzone` each describe.",7,31,"Look at the help file for the `airports` data frame. Revise your earlier guesses about what the variables `lat`, `lon`, `alt`, `tz`, `dst`, and `tzone` each describe.",0
02,unchanged,1,1,"Take a look at both the `flights` data frame from the `nycflights23` package and the `envoy_flights` data frame from the `moderndive` package by running `View(flights)` and `View(envoy_flights)`. In what respect do these data frames differ? For example, think about the number of rows in each dataset.",1,1,"Take a look at both the `flights` data frame from the `nycflights13` package and the `alaska_flights` data frame from the `moderndive` package by running `View(flights)` and `View(alaska_flights)`. In what respect do these data frames differ? For example, think about the number of rows in each dataset.",0
02,edited,2,6,What are practical reasons why `dep_delay` and `arr_delay` have a positive relationship?,2,6,What are some practical reasons why `dep_delay` and `arr_delay` have a positive relationship?,0.037466578120378125
02,unchanged,3,11,"What variables in the `weather` data frame would you expect to have a negative correlation (i.e., a negative relationship) with `dep_delay`? Why? Remember that we are focusing on numerical variables here. Hint: Explore the `weather` dataset by using the `View()` function.",3,11,"What variables in the `weather` data frame would you expect to have a negative correlation (i.e., a negative relationship) with `dep_delay`? Why? Remember that we are focusing on numerical variables here. Hint: Explore the `weather` dataset by using the `View()` function.",0
