name,score,rating,type,millions,over200
2 Fast 2 Furious,48.900002,PG-13,action,NA,0
28 Days Later,78.199997,R,horror,45.064999,0
A Guy Thing,39.5,PG-13,rom comedy,15.545,0
A Man Apart,42.900002,R,action,26.247999,0
A Mighty Wind,79.900002,PG-13,comedy,17.781,0
Agent Cody Banks,57.900002,PG,action,47.811001,0
Alex & Emma,35.099998,PG-13,rom comedy,14.219,0
American Wedding,50.700001,R,comedy,104.441,0
Anger Management,62.599998,PG-13,comedy,134.40401,0
Anything Else,63.299999,R,rom comedy,3.2119999,0
Bad Boys II,38.099998,R,action,138.397,0
Bad Santa,75.800003,R,comedy,59.522999,0
Basic,43.599998,R,suspense,26.535999,0
Beyond Borders,48.799999,R,drama,4.4299998,0
big fish,78,PG-13,drama,65.151001,0
Biker Boyz,44.799999,PG-13,action,21.731001,0
Boat Trip,29.200001,R,comedy,8.6000004,0
Bringing Down the House,57.700001,PG-13,comedy,132.582,0
Brother Bear,60.599998,G,animated,84.874001,0
Bruce Almighty,63.299999,PG-13,comedy,242.705,1
Bulletproof Monk,47.299999,PG-13,action,23.358999,0
Cabin Fever,54.299999,R,horror,21.158001,0
Calendar Girls,67.300003,PG-13,comedy,29.591,0
Charlie's Angles: Full Throttle,54.799999,PG-13,action,100.785,0
Cheaper by the Dozen,52.900002,PG,comedy,135.44501,0
Cold Creek Manor,50.599998,R,suspense,21.386,0
Cold Mountain,78,R,drama,90.711998,0
Confidence,62.200001,R,drama,12.218,0
Cradle 2 the Grave,45.799999,R,action,34.612999,0
Daddy Day Care,40.5,PG,comedy,104.297,0
Daredevil,52.099998,PG-13,action,102.544,0
Dark Blue,58.700001,R,drama,9.25,0
Darkness Falls,31.1,PG-13,horror,32.131001,0
Deliver Us From Eva,61.799999,R,rom comedy,17.365999,0
"Dickie Roberts, Former Child Star",52.599998,PG-13,comedy,22.739,0
Down With Love,63.700001,PG-13,rom comedy,20.305,0
Dr. Seuss' The Cat in the Hat,37.799999,PG,fantasy,99.879997,0
Dreamcatcher,42.5,R,sci-fi,33.700001,0
Dumb and Dumberer,29.5,PG-13,comedy,26.166,0
Duplex,51.299999,PG-13,comedy,9.6709995,0
Dysfunktional Family,57.200001,R,documentary,2.2349999,0
Elf,70.300003,PG,comedy,173.306,0
Final Destination 2,46.099998,R,horror,46.492001,0
Finding Nemo,91.199997,G,animated,339.715,1
Freaky Friday,74.900002,PG,comedy,110.222,0
Freddy vs. Jason,47.299999,R,horror,82.217003,0
From Justin to Kelly,34.799999,PG,musical,4.9289999,0
Gigli,29.299999,R,rom comedy,6.0879998,0
Gods and Generals,42,PG-13,drama,12.875,0
Good Boy!,57.900002,PG,comedy,37.654999,0
Gothika,48.099998,R,horror,59.453999,0
Grind,35,PG-13,comedy,5.1240001,0
Head of State,56.700001,PG-13,comedy,37.845001,0
Holes,71.900002,PG,drama,67.364998,0
Hollywood Homicide,47.900002,PG-13,action,30.941,0
Honey,49.900002,PG-13,drama,30.223,0
House of 1000 Corpses,36.299999,R,horror,12.599,0
How to Deal,53.599998,PG-13,drama,14.144,0
