"overall_episode","season","air_year","imdb_rating","imdb_votes","best_runtime"
1,1,2000,6.4,18,26
2,1,2000,7.2,12,26
3,1,2000,8.3,15,26
4,1,2000,8,12,26
5,1,2000,7.4,12,26
6,1,2000,7.8,18,26
7,1,2000,7.7,15,26
8,1,2000,7.2,10,26
9,1,2000,7.2,10,26
10,1,2000,8.2,8,26
11,1,2000,7.5,11,26
12,1,2000,NA,NA,26
13,1,2000,7.3,13,26
14,1,2000,7.5,12,26
15,1,2000,7.1,11,26
16,1,2000,6.8,10,26
17,2,2002,7.4,13,26
18,2,2002,7,11,26
19,2,2002,7.2,12,26
20,2,2002,7,16,26
21,2,2002,7.3,14,26
22,2,2002,8,11,26
23,2,2002,7.8,12,26
24,2,2002,7.4,21,26
25,2,2002,7.5,23,26
26,2,2002,7.6,20,26
27,2,2002,7.6,11,26
28,2,2002,7.7,24,26
29,2,2002,7.6,21,26
30,2,2003,7.6,23,26
31,3,2004,7.7,25,26
32,3,2004,7.5,23,26
33,3,2004,7.4,28,26
34,3,2004,8,33,26
35,3,2004,8.1,25,26
36,3,2004,8,29,26
37,3,2004,7.4,28,26
38,3,2004,7.3,29,26
39,3,2004,7.6,25,26
40,3,2004,7.6,32,26
41,3,2004,7.3,32,26
42,3,2004,7.1,26,26
43,3,2004,7.2,24,26
44,4,2006,7.3,34,26
45,4,2006,7.4,27,26
46,4,2006,7.5,37,26
47,4,2006,6.9,30,26
48,4,2006,7.4,32,26
49,4,2006,7.3,26,26
50,4,2006,7.1,22,26
51,4,2006,7.5,19,26
52,4,2006,7.7,27,26
53,4,2006,7.9,27,26
54,4,2006,7.5,25,26
55,5,2008,7.2,25,26
56,5,2008,7.1,22,26
57,5,2008,7.8,26,26
58,5,2008,7.9,33,26
59,5,2008,7.3,26,26
60,5,2008,7.6,24,26
61,5,2008,7.1,28,26
62,5,2008,7.4,29,26
63,5,2008,7.3,25,26
64,5,2008,7.6,30,26
65,5,2008,7.8,25,26
66,5,2008,7,26,26
67,5,2008,8.1,17,26
68,5,2009,7.6,23,26
69,6,2010,8.1,9,60
70,6,2010,8,24,26
71,6,2010,7.9,21,26
72,6,2010,7.2,21,26
73,6,2010,7.4,20,26
74,6,2010,7.3,20,26
75,6,2010,7.9,24,26
76,6,2010,7.8,23,26
77,6,2010,7.5,23,26
78,6,2010,7.2,20,26
79,6,2010,6.8,23,26
80,6,2010,7.1,19,26
81,7,2012,8,45,26
82,7,2012,7.9,34,26
83,7,2012,7.8,31,26
84,7,2012,8.1,32,26
85,7,2012,7.9,34,26
86,7,2012,8.2,37,26
87,7,2012,8.2,37,26
88,7,2012,8.2,34,26
89,7,2012,8,32,26
90,7,2012,7.9,26,26
91,7,2012,8,25,26
92,7,2012,7.7,26,26
93,7,2012,8,24,26
94,7,2013,8,23,26
95,8,2014,7.5,26,26
96,8,2014,7.3,19,26
97,8,2014,7.6,20,26
98,8,2014,8.1,31,26
99,8,2014,7.7,28,26
100,8,2014,7.6,28,26
101,8,2014,7.7,28,26
102,8,2014,7.6,27,26
103,8,2014,7.6,30,26
104,8,2014,7.8,34,26
105,8,2014,7.9,30,26
106,8,2014,8,27,26
107,9,2016,8,26,26
108,9,2016,7.5,26,26
109,9,2016,8,22,26
110,9,2016,8.2,27,26
111,9,2016,7.8,34,26
112,9,2016,7.7,20,26
113,9,2016,7.8,24,26
114,9,2016,8.2,24,26
115,9,2016,8.3,25,26
116,9,2016,8,25,26
117,10,2018,8.1,28,26
118,10,2018,8.2,27,26
119,10,2018,7.8,25,26
120,10,2018,8,24,26
121,10,2018,8,26,26
122,10,2018,7.8,23,26
123,10,2018,7.9,23,26
124,10,2018,8.2,25,26
125,10,2018,7.8,22,26
126,10,2018,8,23,26
127,10,2018,8,24,26
128,10,2018,8,27,26
129,11,2020,8.5,21,26
130,11,2020,8.2,25,26
131,11,2020,8.1,22,26
132,11,2020,8.3,25,26
133,11,2020,8.2,22,26
134,11,2020,8.1,18,26
135,11,2020,7.4,12,26
136,11,2020,6.9,22,26
137,12,2023,8.3,10,26
138,12,2023,8.5,9,26
139,12,2023,NA,NA,26
140,12,2023,8.1,8,26
141,12,2023,8.3,7,26
142,12,2023,8.7,7,26
143,12,2023,NA,NA,26
144,12,2023,NA,NA,26
145,12,2023,8.8,6,26
146,12,2023,8.8,7,26
147,12,2023,9.2,7,26
148,12,2023,9.2,6,26
149,13,2025,8.8,6,26
150,13,2025,8.6,8,26
151,13,2025,7.7,9,26
152,13,2025,7.2,9,26
153,13,2025,8.6,5,26
154,13,2025,8.2,5,26
155,13,2025,8.3,6,26
156,13,2025,NA,NA,26
157,13,2025,NA,NA,26
158,13,2025,NA,NA,26
159,13,2025,NA,NA,26
