college_grad,response
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
no,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
yes,opinion
