country,1952,1957,1962,1967,1972,1977,1982,1987,1992
Albania,-9,-9,-9,-9,-9,-9,-9,-9,5
Argentina,-9,-1,-1,-9,-9,-9,-8,8,7
Armenia,-9,-7,-7,-7,-7,-7,-7,-7,7
Australia,10,10,10,10,10,10,10,10,10
Austria,10,10,10,10,10,10,10,10,10
Azerbaijan,-9,-7,-7,-7,-7,-7,-7,-7,1
Belarus,-9,-7,-7,-7,-7,-7,-7,-7,7
Belgium,10,10,10,10,10,10,10,10,10
Bhutan,-10,-10,-10,-10,-10,-10,-10,-10,-10
Bolivia,-4,-3,-3,-4,-7,-7,8,9,9
Brazil,5,5,5,-9,-9,-4,-3,7,8
Bulgaria,-7,-7,-7,-7,-7,-7,-7,-7,8
Canada,10,10,10,10,10,10,10,10,10
Chile,2,5,5,6,6,-7,-7,-6,8
China,-8,-8,-8,-9,-8,-7,-7,-7,-7
Colombia,-5,7,7,7,7,8,8,8,9
Costa Rica,10,10,10,10,10,10,10,10,10
Croatia,-7,-7,-7,-7,-7,-7,-5,-5,-3
Cuba,0,-9,-7,-7,-7,-7,-7,-7,-7
Czech Rep.,-7,-7,-7,-7,-7,-7,-7,-7,8
Denmark,10,10,10,10,10,10,10,10,10
Dominican Rep.,-9,-9,8,-3,-3,-3,6,6,6
Ecuador,2,2,-1,-1,-5,-5,9,8,9
Egypt,-7,-7,-7,-7,-7,-6,-6,-6,-6
El Salvador,-6,-5,-3,0,-1,-6,2,6,7
Estonia,-9,-7,-7,-7,-7,-7,-7,-7,6
Ethiopia,-9,-9,-9,-9,-9,-7,-7,-8,0
Finland,10,10,10,10,10,10,10,10,10
France,10,10,5,5,8,8,8,9,9
Georgia,-9,-7,-7,-7,-7,-7,-7,-7,4
Germany,10,10,10,10,10,10,10,10,10
Greece,4,4,4,-7,-7,8,8,10,10
Guatemala,2,-6,-5,3,1,-3,-7,3,3
Haiti,-5,-5,-9,-9,-10,-9,-9,-8,-7
Honduras,-3,-1,-1,-1,-1,-1,6,5,6
Hungary,-7,-7,-7,-7,-7,-7,-7,-7,10
India,9,9,9,9,9,8,8,8,8
