country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,27.13,27.67,28.19,28.73,29.27,29.8,30.34,30.86,31.4,31.94,32.47,33.01,33.53,34.07,34.6,35.13,35.66,36.17,36.69,37.2,37.7,38.19,38.67,39.14,39.61,40.07,40.53,40.98,41.46,41.96,42.51,43.11,43.75,44.45,45.21,46.02,46.87,47.74,48.62,49.5,49.3,49.4,49.5,48.9,49.4,49.7,49.5,48.6,50.0,50.1,50.4,51.0,51.4,51.8,52.0,52.1,52.4,52.8,53.3,53.6,54.0,54.4,54.8,54.9,53.8,52.72
Albania,54.72,55.23,55.85,56.59,57.45,58.42,59.48,60.6,61.75,62.87,63.92,64.84,65.6,66.18,66.59,66.88,67.11,67.32,67.55,67.83,68.16,68.53,68.93,69.35,69.77,70.17,70.54,70.86,71.14,71.39,71.63,71.88,72.15,72.42,72.71,72.96,73.14,73.25,73.3,73.3,73.4,73.6,73.6,73.6,73.7,73.8,74.1,74.2,74.2,74.7,75.1,75.5,75.7,75.9,76.2,76.4,76.6,76.8,77.0,77.2,77.4,77.5,77.7,77.9,78.0,78.1
Algeria,43.03,43.5,43.96,44.44,44.93,45.44,45.94,46.45,46.97,47.5,48.02,48.55,49.07,49.58,50.09,50.58,51.05,51.49,51.95,52.41,52.88,53.38,53.91,54.52,55.24,56.11,57.13,58.28,59.56,60.92,62.31,63.69,64.97,66.15,67.18,68.04,68.75,69.33,69.81,70.2,70.5,70.9,71.2,71.4,71.6,72.1,72.4,72.6,73.0,73.3,73.5,73.8,73.9,74.4,74.8,75.0,75.3,75.5,75.7,76.0,76.1,76.2,76.3,76.3,76.4,76.5
Angola,31.05,31.59,32.14,32.69,33.24,33.78,34.33,34.88,35.43,35.98,36.53,37.08,37.63,38.18,38.74,39.28,39.84,40.39,40.95,41.5,42.06,42.62,43.17,43.71,44.22,44.68,45.12,45.5,45.84,46.14,46.42,46.69,46.96,47.23,47.5,47.75,47.99,48.2,48.4,48.6,49.3,49.6,48.4,50.0,50.9,51.3,51.7,51.8,51.8,52.3,52.5,53.3,53.9,54.5,55.2,55.7,56.2,56.7,57.1,57.6,58.1,58.5,58.8,59.2,59.6,60.0
Antigua and Barbuda,58.26,58.8,59.34,59.87,60.41,60.93,61.45,61.97,62.48,62.97,63.46,63.93,64.38,64.81,65.23,65.63,66.03,66.41,66.81,67.19,67.56,67.94,68.3,68.64,68.99,69.32,69.64,69.96,70.28,70.59,70.9,71.22,71.52,71.82,72.13,72.42,72.7,72.97,73.24,73.5,73.6,73.5,73.4,73.4,73.5,73.5,73.9,74.1,74.0,73.8,74.1,74.3,74.5,74.6,74.9,74.9,75.3,75.5,75.7,75.8,75.9,76.1,76.2,76.3,76.4,76.5
Argentina,61.93,62.54,63.1,63.59,64.03,64.41,64.73,65.0,65.22,65.39,65.53,65.64,65.74,65.84,65.95,66.08,66.26,66.47,66.72,67.01,67.32,67.64,67.96,68.28,68.6,68.92,69.24,69.57,69.89,70.2,70.51,70.78,71.04,71.26,71.46,71.66,71.84,72.05,72.26,72.5,72.7,72.8,73.1,73.4,73.5,73.5,73.6,73.8,73.9,74.2,74.3,74.3,74.5,75.0,75.3,75.3,75.2,75.4,75.6,75.8,76.0,76.1,76.2,76.3,76.5,76.7
Armenia,62.67,63.13,63.6,64.07,64.54,65.0,65.45,65.92,66.39,66.86,67.33,67.82,68.3,68.78,69.26,69.74,70.22,70.67,71.1,71.47,71.79,72.02,72.19,72.28,72.33,72.38,72.44,72.53,72.63,72.72,72.73,72.64,72.43,72.1,71.7,71.24,70.82,70.46,70.22,70.1,69.7,68.8,68.3,68.6,69.1,69.4,70.0,70.5,70.8,71.3,71.4,71.6,71.5,71.8,71.8,71.7,72.3,72.3,72.6,73.0,73.5,73.9,74.3,74.5,74.7,74.9
Aruba,58.96,60.01,60.98,61.87,62.69,63.42,64.09,64.68,65.2,65.66,66.07,66.44,66.79,67.11,67.44,67.76,68.1,68.44,68.78,69.14,69.5,69.85,70.19,70.52,70.83,71.14,71.44,71.74,72.02,72.29,72.54,72.75,72.93,73.07,73.18,73.26,73.33,73.38,73.43,73.47,73.51,73.54,73.57,73.6,73.62,73.65,73.67,73.7,73.73,73.78,73.85,73.94,74.05,74.18,74.32,74.47,74.62,74.77,74.92,75.06,75.19,75.32,75.46,75.59,75.72,75.85
Australia,68.71,69.11,69.69,69.84,70.16,70.03,70.31,70.86,70.43,70.87,71.14,70.91,70.97,70.63,70.96,70.79,71.07,70.7,71.11,70.78,71.38,71.9,72.11,71.86,72.81,72.84,73.45,73.84,74.4,74.56,74.92,74.7,75.51,75.98,75.41,76.08,76.27,76.3,76.4,77.0,77.4,77.6,77.9,78.1,78.3,78.5,78.8,79.2,79.4,79.8,80.1,80.3,80.6,80.9,81.2,81.4,81.5,81.6,81.8,82.0,82.2,82.4,82.4,82.3,82.3,82.3
Austria,65.24,66.78,67.27,67.3,67.58,67.7,67.46,68.46,68.39,68.75,69.72,69.51,69.64,70.13,69.92,70.22,70.1,70.25,70.02,70.07,70.27,70.59,71.16,71.15,71.28,71.77,72.12,72.2,72.51,72.64,72.96,73.12,73.19,73.73,73.95,74.43,74.86,75.34,75.43,75.7,75.8,76.0,76.2,76.5,76.8,77.1,77.6,77.8,78.0,78.2,78.6,78.8,79.0,79.4,79.5,80.0,80.1,80.4,80.3,80.5,80.7,80.9,81.1,81.2,81.3,81.4
